# height is centimeters and weight is kilograms
FirstName,LastName,Height,Weight
Novak,Djokovic,188,80
Rafael,Nadal,185,85
Roger,Federer,185,85
Andy,Murray,190,84
David,Ferrer,175,73
Jo-Wilfried,Tsonga,188,91
Tomas,Berdych,196,91
Mardy,Fish,188,82
Janko,Tipsarevic,180,83
Nicolas,Almagro,183,84
Juan,Martin,198,97
Gilles,Simon,183,70
Robin,Soderling,193,87
Andy,Roddick,188,88
Alexandr,Dolgopolov,183,73
Gael,Monfils,193,80
Stanislas,Wawrinka,183,79
John,Isner,206,111
Richard,Gasquet,185,75
Feliciano,Lopez,188,85
Marin,Cilic,198,87
Viktor,Troicki,193,86
Florian,Mayer,190,82
Fernando,Verdasco,188,81
Kei,Nishikori,178,68
Juan,Monaco,185,77
Xavier,Malisse,185,83
Marcel,Granollers,190,77
Radek,Stepanek,185,76
Juan,Ignacio,190,75
Ivan,Ljubicic,193,90
Milos,Raonic,196,90
Kevin,Anderson,203,89
Jurgen,Melzer,183,81
Alex,Bogomolov,178,75
Mikhail,Youzhny,183,73
Ivan,Dodig,183,83
Thomaz,Bellucci,188,82
Andreas,Seppi,190,75
Donald,Young,183,73
Dmitry,Tursunov,185,82
Nikolay,Davydenko,178,70
Bernard,Tomic,193,77
Philipp,Kohlschreiber,178,70
Marcos,Baghdatis,183,82
Robin,Haase,190,77
Pablo,Andujar,180,76
Michael,Llodra,190,80
Fabio,Fognini,178,74
Juan,Carlos,183,73
Tommy,Robredo,180,75
Julien,Benneteau,185,79
Albert,Montanes,175,70
Lukasz,Kubot,190,86
Gilles,Muller,193,92
Santiago,Giraldo,188,75
Ivo,Karlovic,208,104
Potito,Starace,188,84
James,Blake,185,83
Ernests,Gulbis,190,77
Sergiy,Stakhovsky,193,80
Philipp,Petzschner,185,77
David,Nalbandian,180,79
Guillermo,Garcia-Lopez,188,82
Albert,Ramos,188,80
Olivier,Rochus,168,65
Rui,Machado,178,65
Filippo,Volandri,183,73
Lukas,Rosol,196,81
Carlos,Berlocq,183,75
Igor,Kunitsyn,180,75
Ryan,Sweeting,196,83
Denis,Istomin,188,88
Alejandro,Falla,185,80
Flavio,Cipolla,173,74
Grigor,Dimitrov,188,77
Jarkko,Nieminen,185,78
Leonardo,Mayer,188,83
Ryan,Harrison,183,73
Nicolas,Mahut,190,80
Cedrik-Marcel,Stebe,183,69
Yen-Hsun,Lu,180,74
Dudi,Sela,175,65
Somdev,Devvarman,180,73
Ricardo,Mello,175,73
Matthew,Ebden,188,78
Adrian,Mannarino,183,66
Steve,Darcis,178,73
Pere,Riba,183,71
Victor,Hanescu,198,88
Mikhail,Kukushkin,183,72
Blaz,Kavcic,188,79
Sam,Querrey,198,91
Matthias,Bachinger,188,83
Benoit,Paire,196,80
Tobias,Kamke,178,74
Eric,Prodon,178,72
Andreas,Beck,190,90
Michael,Russell,173,70
Michael,Berrer,193,100
